"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","month","day","year"
"1","If I unfollow you, please let me know so I can follow you back.

Good ole Twitter caused my backup account to unfol… https://t.co/dwCWc8N60Y",FALSE,20,NA,2018-10-07 17:36:13,TRUE,NA,"1048990393088524288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,10,7,2018
"2","RT @realDonaldTrump: .@SecPompeo had a good meeting with Chairman Kim today in Pyongyang. Progress made on Singapore Summit Agreements! I l…",FALSE,0,NA,2018-10-07 17:29:04,FALSE,NA,"1048988591333036032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9822,TRUE,FALSE,NA,NA,10,7,2018
"3","Do you see the red mark in this image?  That means Facebook refused to allow this comment to be posted.

Don't shar… https://t.co/c7T49Vy8lw",FALSE,6,NA,2018-10-07 17:28:55,TRUE,NA,"1048988557023633410",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",11,FALSE,FALSE,NA,NA,10,7,2018
"4","Do you see the red mark in this image?  That means Facebook refused to allow this comment to be posted.

Don't shar… https://t.co/7zme64UM6Q",FALSE,13,NA,2018-10-07 17:26:47,TRUE,NA,"1048988018944761858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",12,FALSE,FALSE,NA,NA,10,7,2018
"5","Arkansas Attorney General Leslie Rutledge is defending Senator Jason ""Jezebel"" Rapert but refuses to defend the Ark… https://t.co/4JrU53E1sw",FALSE,0,NA,2018-10-07 17:06:10,TRUE,NA,"1048982828279582720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,FALSE,FALSE,NA,NA,10,7,2018
"6","RT @townhallcom: Twice Deported Illegal Alien Re-Enters Country and Kills Daughter https://t.co/rF7K3x5G6a",FALSE,0,NA,2018-10-07 17:00:01,FALSE,NA,"1048981284020781056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",107,TRUE,FALSE,NA,NA,10,7,2018
"7","Whatsoever thy hand findeth to do, do it with thy might; for there is no work, nor device, nor knowledge, nor wisdo… https://t.co/GKVhRCFjSR",FALSE,16,NA,2018-10-07 15:27:28,TRUE,NA,"1048957989586194432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,FALSE,FALSE,NA,NA,10,7,2018
"8","■■■ Do you agree that Arkansas Attorney General Leslie Rutledge is part of the system that enables fraud, corruptio… https://t.co/Une8b8EvrT",FALSE,8,NA,2018-10-07 12:45:26,TRUE,NA,"1048917214454337536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,10,7,2018
"9","@MilweeBetsy @DianneSteiner Cry baby Schumer is still demanding his pacifier?",FALSE,3,"MilweeBetsy",2018-10-06 22:45:32,FALSE,"1048656837397110785","1048705848099397632","836674822558089217","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",4,FALSE,FALSE,NA,NA,10,6,2018
"10","■■■ Supreme Court Justice Brett Kavanaugh confirmed 50-48.

 https://t.co/QiqdoXwgiv https://t.co/W26AJN7aOK",FALSE,45,NA,2018-10-06 20:20:08,FALSE,NA,"1048669254533435393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",25,FALSE,FALSE,NA,NA,10,6,2018
"11","@JaniceparkNews @Scotus @wusa9 Get a job■■■■■■■■",FALSE,16,"JaniceparkNews",2018-10-06 16:56:40,FALSE,"1048596102751182848","1048618052961673216","785844237615136769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,FALSE,FALSE,NA,NA,10,6,2018
"12","10 Things Cable Companies Won't Tell You.

Bundled packages aren't much of a deal, good service is hard to find and… https://t.co/y4OLSBnEIm",FALSE,25,NA,2018-10-06 11:35:47,TRUE,NA,"1048537299326263296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",18,FALSE,FALSE,NA,NA,10,6,2018
"13","Cable TV “failing” as a business.

I know I'm done with Cox Communications if I have to go back to rabbit ears!

Co… https://t.co/zNkzxtjIS0",FALSE,12,NA,2018-10-06 11:28:04,TRUE,NA,"1048535354452656128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,FALSE,FALSE,NA,NA,10,6,2018
"14","@senorrinhatch @greggnunziata Do you respect Democrats who steal valor and respect from the men and women who serve… https://t.co/dYwpVlYFUz",FALSE,19,"senorrinhatch",2018-10-05 23:16:59,TRUE,"1048333944855437312","1048351374797414400","262756641","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",10,FALSE,FALSE,NA,NA,10,5,2018
"15","Do you respect Democrats who steal valor and respect from the men and women who served and sacrificed for America a… https://t.co/WGeeyIklsW",FALSE,27,NA,2018-10-05 23:14:47,TRUE,NA,"1048350819106639873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",19,FALSE,FALSE,NA,NA,10,5,2018
"16","@mitchellvii @KickinBrass1 Senator Grassley requested an investigation into Feinstein’s leaking of the Ford letter.",FALSE,25,"mitchellvii",2018-10-05 22:34:18,FALSE,"1048281734352130048","1048340629800067072","17980523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,10,5,2018
"17","Chuck Grassley: ""I saw what they did to Robert Bork. I saw what they did to Clarence Thomas. That was nothing compa… https://t.co/8owHiAEtWf",FALSE,123,NA,2018-10-05 22:32:31,TRUE,NA,"1048340185044275200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",77,FALSE,FALSE,NA,NA,10,5,2018
"18","@SenateGOP @senorrinhatch Dear @realDonaldTrump,

Please stop winning!  I can't take any more.

One more win and th… https://t.co/argmHBanx5",FALSE,7,"SenateGOP",2018-10-05 22:31:30,TRUE,"1048235118756687872","1048339926746587136","14344823","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,FALSE,FALSE,NA,NA,10,5,2018
"19","Dear @realDonaldTrump,

Please stop winning!  I can't take any more.

One more win and the corrupt media and Democr… https://t.co/XE7l0zgvWP",FALSE,16,NA,2018-10-05 22:29:51,TRUE,NA,"1048339512177430528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,10,5,2018
"20","RT @Sen_JoeManchin: I will vote to support Supreme Court nominee Judge Brett Kavanaugh. https://t.co/1FfuMTOZz8",FALSE,0,NA,2018-10-05 22:25:41,FALSE,NA,"1048338464318607361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8388,TRUE,FALSE,NA,NA,10,5,2018
"21","RT @politico: Susan Collins slammed the person who leaked Ford's information:

""You have taken a survivor... who also trusted you to protec…",FALSE,0,NA,2018-10-05 22:25:27,FALSE,NA,"1048338405514522624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1352,TRUE,FALSE,NA,NA,10,5,2018
"22","RT @ChuckGrassley: 2/2 I think Sen Collins in the same spirit did more to expose the ugliness of the controversy around the Kavanaugh nom p…",FALSE,0,NA,2018-10-05 22:24:36,FALSE,NA,"1048338189507878912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8461,TRUE,FALSE,NA,NA,10,5,2018
"23","RT @senorrinhatch: A very valuable read from ⁦@greggnunziata⁩ about the FBI’s superb handling of the supplemental background investigation,…",FALSE,0,NA,2018-10-05 22:24:00,FALSE,NA,"1048338039003664385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",753,TRUE,FALSE,NA,NA,10,5,2018
"24","RT @Cory_1077: Fun is universal https://t.co/sh7f3FKK3D",FALSE,0,NA,2018-10-05 22:21:02,FALSE,NA,"1048337293189238784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",128,TRUE,FALSE,NA,NA,10,5,2018
"25","RT @KristySwansonXO: Hey I fall into the category of “all women “ and guess what, you don’t speak for me. I’ll unapologetically use my own…",FALSE,0,NA,2018-10-05 22:20:23,FALSE,NA,"1048337129351368705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",548,TRUE,FALSE,NA,NA,10,5,2018
"26","@RealSaavedra @BuckInTennessee Democrats will do remarkable things to hold onto power.",FALSE,4,"RealSaavedra",2018-10-05 22:19:33,FALSE,"1048303254294093824","1048336918700802049","812135885328236551","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,FALSE,FALSE,NA,NA,10,5,2018
"27","RT @RealSaavedra: BREAKING: Sen. Joe Manchin (D-WV) will vote to confirm Brett Kavanaugh",FALSE,0,NA,2018-10-05 22:17:58,FALSE,NA,"1048336520313233415",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",179,TRUE,FALSE,NA,NA,10,5,2018
"28","RT @JackPosobiec: F https://t.co/oKN4ARAwjO",FALSE,0,NA,2018-10-05 22:17:46,FALSE,NA,"1048336470770163712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",97,TRUE,FALSE,NA,NA,10,5,2018
"29","RT @DanielMestas: https://t.co/PU7RD3SIIG",FALSE,0,NA,2018-10-05 22:16:32,FALSE,NA,"1048336161456967681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8,TRUE,FALSE,NA,NA,10,5,2018
"30","RT @CarolAn89887859: @GeneMcVay Thank you for your service! #ConfimKavanaughNOW 
❤️🇺🇸🇺🇸❤️🇺🇸🇺🇸❤️🇺🇸🇺🇸❤️🇺🇸🇺🇸❤️🇺🇸🇺🇸❤️🇺🇸🇺🇸❤️",FALSE,0,NA,2018-10-05 21:15:24,FALSE,NA,"1048320775164518400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,TRUE,FALSE,NA,NA,10,5,2018
"31","RT @arktvlr: @GeneMcVay #StolenValorBlumenthal",FALSE,0,NA,2018-10-05 21:15:17,FALSE,NA,"1048320744848064512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,10,5,2018
"32","RT @GabeGouveia57: @GeneMcVay I live in CT believe me this is a joke having this clown as our Senator, our entire family fought for our cou…",FALSE,0,NA,2018-10-05 21:15:11,FALSE,NA,"1048320723079634944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,TRUE,FALSE,NA,NA,10,5,2018
"33","@Aldeplumber1 @Michael91862925 @Hardees Coffee",FALSE,1,"Aldeplumber1",2018-10-05 21:14:25,FALSE,"1048291935813816323","1048320527465680898","921030055085641728","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,10,5,2018
"34","RT @Michael91862925: @GeneMcVay @Hardees Same scam at all fast food franchises. Again and again. What's to be done?",FALSE,0,NA,2018-10-05 19:11:40,FALSE,NA,"1048289636789964802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",4,TRUE,FALSE,NA,NA,10,5,2018
"35","Beware of a major scam and health issue @Hardees 

They added a Coke to my combo order.  This has happened before.… https://t.co/ye8L0jtr5v",FALSE,5,NA,2018-10-05 14:34:33,TRUE,NA,"1048219899141771264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,FALSE,FALSE,NA,NA,10,5,2018
"36","RT @bennyjohnson: BASED ORRIN HATCH

Hatch waves off protesters screaming at him.

Protester ""Don't you wave your hand at me. I wave my han…",FALSE,0,NA,2018-10-05 11:30:43,FALSE,NA,"1048173637155639297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9514,TRUE,FALSE,NA,NA,10,5,2018
"37","RT @RealSaavedra: DACA Recipient Busted for Smuggling 20 Pounds of Meth https://t.co/xrEATjRbj9",FALSE,0,NA,2018-10-05 11:29:19,FALSE,NA,"1048173281604526080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",318,TRUE,FALSE,NA,NA,10,5,2018
"38","RT @hawaiihao: @GeneMcVay Thank you for your service Colonel McVay🇺🇸❤️🇺🇸👍🏼",FALSE,0,NA,2018-10-05 11:28:35,FALSE,NA,"1048173096920928256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,TRUE,FALSE,NA,NA,10,5,2018
"39","Open letter to Connecticut Residents from Colonel Gene McVay:

I flew 50 Combat Missions in Vietnam and I would pre… https://t.co/QBULOp0qAk",FALSE,147,NA,2018-10-05 10:48:42,TRUE,NA,"1048163063457873920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",130,FALSE,FALSE,NA,NA,10,5,2018
"40","The savages I see around the Capitol are too wild for the Congo.

They belong in a Zoo.

#ConfirmKavanaughNow",FALSE,38,NA,2018-10-05 01:49:18,FALSE,NA,"1048027315681337344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",11,FALSE,FALSE,NA,NA,10,5,2018
"41","Emily Ratajkowski &amp; Amy Schumer joined Sen. Kirsten Gillibrand (D-NY) outside the Supreme Court to protest the conf… https://t.co/zrA8DWkgNi",FALSE,13,NA,2018-10-05 00:07:01,TRUE,NA,"1048001575296352256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,FALSE,FALSE,NA,NA,10,5,2018
"42","RT @BunkShaner: @SenGillibrand https://t.co/86ZtLW4CzK",FALSE,0,NA,2018-10-05 00:06:32,FALSE,NA,"1048001453653184512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",193,TRUE,FALSE,NA,NA,10,5,2018
"43","RT @TG4Arkansas: This just happened: the cashier at the KFC Taco Bell in Ozark asked me if I wanted the Senior Discount. I am embracing it!",FALSE,0,NA,2018-10-04 17:54:28,FALSE,NA,"1047907823320006656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",9,TRUE,FALSE,NA,NA,10,4,2018
"44","RT @TG4Arkansas: About to pass Ozark KFC TB again. Wonder if that Senior Discount is still valid . . . https://t.co/AVmaqITDxk",FALSE,0,NA,2018-10-04 17:54:04,FALSE,NA,"1047907722413395968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",7,TRUE,FALSE,NA,NA,10,4,2018
"45","RT @mplay0000: @GeneMcVay @1RedTulie The Report will confirm the Democrat Fraud they R pulling off",FALSE,0,NA,2018-10-04 13:51:45,FALSE,NA,"1047846740030894080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8,TRUE,FALSE,NA,NA,10,4,2018
"46","Should Christine Margaret Blasey Ford be prosecuted for perjury like Martha Stewart?

#ConfirmKavanaughNow",FALSE,21,NA,2018-10-04 13:50:31,FALSE,NA,"1047846428662530048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",35,FALSE,FALSE,NA,NA,10,4,2018
"47","■■ The heroic fake Vietnam combat Veteran Blumenthal got his FBI Investigation along with Durbin and Feinstein.  I… https://t.co/plwolG5TxY",FALSE,17,"GeneMcVay",2018-10-04 10:49:38,TRUE,"1047646661269512193","1047800910708166656","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",14,FALSE,FALSE,NA,NA,10,4,2018
"48","■■ The heroic fake Vietnam combat Veteran Blumenthal got his FBI Investigation along with Durbin and Feinstein.  I… https://t.co/CN3zaNYkcv",FALSE,14,"GeneMcVay",2018-10-04 10:49:11,TRUE,"1047647064983830528","1047800796165943297","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",11,FALSE,FALSE,NA,NA,10,4,2018
"49","■■ The heroic fake Vietnam combat Veteran Blumenthal got his FBI Investigation along with Durbin and Feinstein.  I… https://t.co/QizLHBeFp8",FALSE,8,"GeneMcVay",2018-10-04 10:48:53,TRUE,"1047671402181120001","1047800721381502977","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,FALSE,FALSE,NA,NA,10,4,2018
"50","@victoria_maui Probably defamation of Judge Kavanaugh?",FALSE,2,"victoria_maui",2018-10-04 10:46:46,FALSE,"1047792443821674496","1047800189057155072","1499927672","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,FALSE,FALSE,NA,NA,10,4,2018
"51","■ Senator Jason Rapert sued for online blocks.

When Gene McVay refused to meet with Rapert, the thin skinned Senat… https://t.co/yoJ8PY35bK",FALSE,8,NA,2018-10-04 10:44:56,TRUE,NA,"1047799724940640256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,FALSE,FALSE,NA,NA,10,4,2018
