"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","month","day","year"
"1","■ Do you take your Constitutional Rights and Freedoms for granted?

https://t.co/fo2CuWSjot",FALSE,0,NA,2018-10-14 14:15:29,FALSE,NA,"1051476590780174337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",0,FALSE,FALSE,NA,NA,10,14,2018
"2","■ Representative Dan Sullivan was targeted for defeat by tha Arkansas Government Industrial Medical Complex but Dan… https://t.co/we6qS4SyQt",FALSE,9,NA,2018-10-13 19:56:37,TRUE,NA,"1051200052826386438",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,FALSE,FALSE,NA,NA,10,13,2018
"3","Walmart Caught Red Handed.

https://t.co/sYF7vrZc54",FALSE,1,NA,2018-10-13 12:30:58,FALSE,NA,"1051087900484534272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,FALSE,FALSE,NA,NA,10,13,2018
"4","If Maxine Waters would run for Arkansas Governor as a Republican, establishment Republicans would work hard to get… https://t.co/QWHCIGcr3V",FALSE,3,NA,2018-10-13 02:27:41,TRUE,NA,"1050936078532788225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,10,13,2018
"5","If Maxine Waters would switch parties and run for Arkansas Governor as a Republican, do you think establishment Rep… https://t.co/1pBX1QwYrv",FALSE,5,NA,2018-10-13 02:02:46,TRUE,NA,"1050929811168874496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,10,13,2018
"6","4)  On the eve of the election, Leslie Asa Rutledge claims she is investigating four politicians like Asa Hutchinso… https://t.co/T0eD4gajlA",FALSE,6,"GeneMcVay",2018-10-12 14:53:07,TRUE,"1050760902016929793","1050761286433288194","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",4,FALSE,FALSE,NA,NA,10,12,2018
"7","3) The Attorney General is well paid with an enormous staff that costs Arkansas Taxpayers a lot of money.  Don't we… https://t.co/BF4Vinslqk",FALSE,11,"GeneMcVay",2018-10-12 14:51:35,TRUE,"1050760544167317508","1050760902016929793","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,10,12,2018
"8","2) It took Leslie Asa Rutledge months and months to finally issue the Attorney General’s Opinion on open carry in A… https://t.co/f6uZZZ8vPc",FALSE,9,"GeneMcVay",2018-10-12 14:50:10,TRUE,"1050760159730049024","1050760544167317508","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,10,12,2018
"9","Remember a few things before you vote for Leslie Asa Rutledge:

During four years of fund raising and influence ped… https://t.co/ScFbmDgn1k",FALSE,11,NA,2018-10-12 14:48:38,TRUE,NA,"1050760159730049024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",10,FALSE,FALSE,NA,NA,10,12,2018
"10","War is too important to be left to politicians and generals.

I hoped we learned from the F-111 boondoggle but alon… https://t.co/UwqRk6NpTw",FALSE,8,NA,2018-10-12 13:06:46,TRUE,NA,"1050734523355410433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8,FALSE,FALSE,NA,NA,10,12,2018
"11","■Social Media is in total lock down and damage control after the Kanye West meeting with President Trump!

Google,… https://t.co/1qlEZqPqcd",FALSE,25,NA,2018-10-12 12:19:36,TRUE,NA,"1050722654452367360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",30,FALSE,FALSE,NA,NA,10,12,2018
"12","I know it's not really noteworthy when CNN blatantly lies during newscasts.  If the scumbags at CNN ever told the t… https://t.co/KnCdfy6izV",FALSE,21,NA,2018-10-12 09:38:33,TRUE,NA,"1050682123252690945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",19,FALSE,FALSE,NA,NA,10,12,2018
"13","RT @GeneMcVay: Huckabee moved to Florida where they have no personal income tax.

Compared to Governor Asa Hutchinson, Mike Huckabee was a…",FALSE,0,NA,2018-10-11 23:15:32,FALSE,NA,"1050525334813196289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",11,TRUE,FALSE,NA,NA,10,11,2018
"14","RT @GeneMcVay: NY prosecutor drops part of sex assault case against Harvey Weinstein. His attorney says Lucia Evans should be criminally pr…",FALSE,0,NA,2018-10-11 23:15:24,FALSE,NA,"1050525301481058304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",23,TRUE,FALSE,NA,NA,10,11,2018
"15","RT @GeneMcVay: CNN, PBS, MSNBC and The New York Times are organizations run by savages for savages.

Their shrill choirs is ringing cacopho…",FALSE,0,NA,2018-10-11 23:15:15,FALSE,NA,"1050525265372372993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",7,TRUE,FALSE,NA,NA,10,11,2018
"16","When Taylor Swift Comes Out For Democrats, She's Brave, A Role Model; When Kanye West Comes Out For Trump, He's 'To… https://t.co/yCeyl0EF6S",FALSE,42,NA,2018-10-11 23:11:50,TRUE,NA,"1050524403430301696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",39,FALSE,FALSE,NA,NA,10,11,2018
"17","@michaelbeatty3 @maryannsmith172 @realDonaldTrump @RealCandaceO CNN is a network run by savages for savages. https://t.co/AV6vCmnumC",FALSE,28,"michaelbeatty3",2018-10-11 19:51:04,FALSE,"1050440910754873344","1050473881255993344","591505507","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",15,FALSE,FALSE,NA,NA,10,11,2018
"18","Was Brian Terry’s blood not enough for Eric Holder? Will inciting the #AngryDemocratMob be his newest and even more… https://t.co/QALwOwzVoc",FALSE,19,NA,2018-10-11 19:31:01,TRUE,NA,"1050468832131895297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",22,FALSE,FALSE,NA,NA,10,11,2018
"19","New Arizona Senate race poll has Republican Martha McSally up by 6 percentage points.

Arizona deserves a great con… https://t.co/kZm57Af2QR",FALSE,37,NA,2018-10-11 19:04:37,TRUE,NA,"1050462188987662336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",16,FALSE,FALSE,NA,NA,10,11,2018
