"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","month","day","year"
"1","RT @AMPRo1219: .@JudgeJeanine  Slams Obama The only reason we have an outsider business man Pres is b/c of you, your lies, your policies, &amp;…",FALSE,0,NA,2018-09-09 13:00:03,FALSE,NA,"1038774033263878146",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",866,TRUE,FALSE,NA,NA,9,9,2018
"2","Has Governor Asa Hutchinson ordered Major Kees to lay off his boys?",FALSE,0,"GeneMcVay",2018-09-09 12:44:44,FALSE,"1038752699486019584","1038770176605515778","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,FALSE,FALSE,NA,NA,9,9,2018
"3","Has Governor Asa Hutchinson ordered Major Kees to lay off his boys?",FALSE,2,"GeneMcVay",2018-09-09 12:44:21,FALSE,"1038764067899539456","1038770083043135489","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,9,9,2018
"4","RT @gt_mom1: @ConduitNews Read neon https://t.co/eyL8T7JHW9 to learn more about Arkansas and all the big $$money players.....Stephens, Rock…",FALSE,0,NA,2018-09-09 12:27:29,FALSE,NA,"1038765834867552256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,TRUE,FALSE,NA,NA,9,9,2018
"5","RT @ArkansasWorld: @GeneMcVay @5NEWS 18 years and $1.6 million.",FALSE,0,NA,2018-09-09 12:27:18,FALSE,NA,"1038765790382710785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",3,TRUE,FALSE,NA,NA,9,9,2018
"6","@ConduitNews
Multifaceted Analysis of the Arkansas Deep State Corruption

Unraveling all the nooks &amp; crannies of Ar… https://t.co/kRdJlJivwO",FALSE,0,"ConduitNews",2018-09-09 12:26:43,TRUE,NA,"1038765643158511616","2824136862","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,9,9,2018
"7","@ConduitNews Multifaceted Analysis of the Arkansas Deep State Corruption

Unraveling all the nooks and crannies of… https://t.co/K29JUID27E",FALSE,0,"ConduitNews",2018-09-09 12:24:57,TRUE,"1038102794165731329","1038765198545440776","2824136862","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,FALSE,FALSE,NA,NA,9,9,2018
"8","RT @ConduitNews: “You stole from the very people who you asked for their vote!” https://t.co/2OtudajJum #arpx #arleg #arnews",FALSE,0,NA,2018-09-09 12:24:10,FALSE,NA,"1038765003900375043",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,TRUE,FALSE,NA,NA,9,9,2018
"9","RT @ConduitNews: Special thank you to Jan Morgan for Guest Hosting! It has been a great week filled with important news insights. You can c…",FALSE,0,NA,2018-09-09 12:24:00,FALSE,NA,"1038764962251001856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,9,9,2018
"10","RT @ConduitNews: AR Judge disqualifies Issue 1 from ballot, citing that the measure would violate the state constitution by combining unrel…",FALSE,0,NA,2018-09-09 12:23:54,FALSE,NA,"1038764935130558464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,TRUE,FALSE,NA,NA,9,9,2018
"11","RT @ConduitNews: According to new study, Arkansas ranks 2nd in nation for bullying. #arleg #arnews #arpx",FALSE,0,NA,2018-09-09 12:23:46,FALSE,NA,"1038764900263374849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,TRUE,FALSE,NA,NA,9,9,2018
"12","RT @ConduitNews: Arkansas public library embraces role as community center by taking measures to prevent opiod overdoses in their vicinity.…",FALSE,0,NA,2018-09-09 12:23:42,FALSE,NA,"1038764883884601344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,9,9,2018
"13","RT @TheMightyWord: @GeneMcVay @AsaHutchinson @jeffsessions Is there anybody in Arkansas who doesn't work for Governor Asa Hutchinson?",FALSE,0,NA,2018-09-09 12:22:29,FALSE,NA,"1038764577486454784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,TRUE,FALSE,NA,NA,9,9,2018
"14","RT @5NEWS: Fort Smith:  Speeds Reach Near 100 MPH In Car Chase Down Rogers Ave. https://t.co/SzhDrx8Ndp https://t.co/Jcyrq1QxVy",FALSE,0,NA,2018-09-09 12:21:09,FALSE,NA,"1038764242747510784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,9,9,2018
"15","RT @5NEWS: Colorado State Rallies Past Razorbacks 34-27 https://t.co/rD6DM5PwhJ https://t.co/XemeUFiMkK",FALSE,0,NA,2018-09-09 12:20:53,FALSE,NA,"1038764176452333568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,9,9,2018
"16","RT @5NEWS: TX: Charges Postponed For Cop Who Fatally Shot Man At Apartment She Thought Was Her Own https://t.co/AfVXmf8Rgs https://t.co/Ls3…",FALSE,0,NA,2018-09-09 12:20:48,FALSE,NA,"1038764155455594496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,TRUE,FALSE,NA,NA,9,9,2018
"17","RT @5NEWS: Little Rock Police Need Help Locating A Missing 26-Year-Old Female https://t.co/zQv6aJBAcq https://t.co/mj9jr8pn5S",FALSE,0,NA,2018-09-09 12:20:44,FALSE,NA,"1038764136317022209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",17,TRUE,FALSE,NA,NA,9,9,2018
"18","RT @5NEWS: Fayetteville Police:  Shooting At The Varsity House Apartments https://t.co/2KJaBkLrwx https://t.co/jrY1jbZND7",FALSE,0,NA,2018-09-09 12:20:40,FALSE,NA,"1038764122018639872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,9,9,2018
"19","RT @5NEWS: Good Samaritan Unknowingly Stopped To Help Man Hired To Kill Him: Cops https://t.co/43bfI379ik https://t.co/wCcekEpFa6",FALSE,0,NA,2018-09-09 12:20:35,FALSE,NA,"1038764099407147008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,TRUE,FALSE,NA,NA,9,9,2018
"20","@5NEWS
Multifaceted Analysis of the Arkansas Deep State Corruption

Unraveling all the nooks &amp; crannies of Arkansas… https://t.co/R4aJaiXTL7",FALSE,0,"5NEWS",2018-09-09 12:20:27,TRUE,NA,"1038764067899539456","24778454","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,FALSE,FALSE,NA,NA,9,9,2018
"21","RT @marklevinshow: CNN = Crap News Network https://t.co/AkXSZcFyg7",FALSE,0,NA,2018-09-09 11:37:13,FALSE,NA,"1038753187409420288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",1263,TRUE,FALSE,NA,NA,9,9,2018
"22","Multifaceted Analysis of the Arkansas Deep State Corruption

Unraveling all the nooks and crannies of Arkansas corr… https://t.co/38AZGGwWJP",FALSE,12,NA,2018-09-09 11:35:17,TRUE,NA,"1038752699486019584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",11,FALSE,FALSE,NA,NA,9,9,2018
"23","Arkansas nonprofit head pleads guilty

The nonprofit had hired former state Sen. Michael Lamoureux and Sen. Jeremy… https://t.co/XIrJUHjKez",FALSE,7,NA,2018-09-09 08:46:18,TRUE,NA,"1038710176067530753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,9,9,2018
"24","RT @Linda4Senate: Oh Nate you even attack @POTUS and compliment BarackObama ??? https://t.co/eHVUtuANDY",FALSE,0,NA,2018-09-09 02:04:35,FALSE,NA,"1038609077302161408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",10,TRUE,FALSE,NA,NA,9,9,2018
"25","RT @ConduitNews: The Judge has recessed before issuing his judgment and sentence. #arpx #arleg #ARnews https://t.co/mmulIXmO2p",FALSE,0,NA,2018-09-07 21:36:17,FALSE,NA,"1038179172470992898",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",8,TRUE,FALSE,NA,NA,9,7,2018
"26","RT @5NEWS: World War II Veteran Celebrates 100th Birthday At Hospital Where He Volunteers https://t.co/AXzOpGj78B https://t.co/n8kJPcf9Hf",FALSE,0,NA,2018-09-06 21:48:08,FALSE,NA,"1037819763580387328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",19,TRUE,FALSE,NA,NA,9,6,2018
"27","RT @5NEWS: Arkansas Judge Disqualifies Measure Limiting Lawsuit Damages https://t.co/37HkFtJQ5Z via @5news",FALSE,0,NA,2018-09-06 21:47:54,FALSE,NA,"1037819705682210816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,TRUE,FALSE,NA,NA,9,6,2018
"28","RT @5NEWS: Burt Reynolds Dies At 82 https://t.co/qaIDCPEDTS via @5news",FALSE,0,NA,2018-09-06 21:47:48,FALSE,NA,"1037819682827509762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",5,TRUE,FALSE,NA,NA,9,6,2018
"29","@5NEWS I wonder if crooked legislators will have to give the bribe money back?",FALSE,2,"5NEWS",2018-09-06 21:47:25,FALSE,"1037811059300749313","1037819584932401153","24778454","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,9,6,2018
"30","I wonder if crooked legislators will have to give the bribe money back?

https://t.co/eMLYBJZZtA",FALSE,9,NA,2018-09-06 21:46:54,FALSE,NA,"1037819454548267008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,9,6,2018
"31","@5NEWS Looks like Arkansas Governor Asa Hutchinson will need to hold several more fundraisers for Convict Jon Woods… https://t.co/6UgRBsuFd0",FALSE,7,"5NEWS",2018-09-05 20:19:47,TRUE,"1037419182869147654","1037435144993419264","24778454","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,9,5,2018
"32","RT @5NEWS: Jon Woods Sentenced To 18 Years For Fraud, Money Laundering Convictions https://t.co/d6UJkoNO8b via @5news",FALSE,0,NA,2018-09-05 20:17:36,FALSE,NA,"1037434592989507593",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",11,TRUE,FALSE,NA,NA,9,5,2018
"33","RT @ConduitNews: Breaking: Jon Woods, former AR State Senator sentenced to 18 years and four months in prison! $1.6 million in restitution.…",FALSE,0,NA,2018-09-05 20:16:37,FALSE,NA,"1037434347442368512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",15,TRUE,FALSE,NA,NA,9,5,2018
"34","@ConduitNews Looks like Arkansas Governor Asa Hutchinson will need to hold several more fundraisers for Convict Jon… https://t.co/GFUQIeok5p",FALSE,11,"ConduitNews",2018-09-05 20:16:31,TRUE,"1037424957163233280","1037434321144082434","2824136862","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,9,5,2018
"35","What do you think about this heroic Vietnam Combat Veteran who never got closer to Vietnam than the Washington Star… https://t.co/QyxZBNRMew",FALSE,37,NA,2018-09-05 20:11:38,TRUE,NA,"1037433092238176259",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",36,FALSE,FALSE,NA,NA,9,5,2018
"36","■■ Fools like Chuck Todd and Bob Woodward never ran anything but they think they could run the United States Govern… https://t.co/p75oRFNAtM",FALSE,35,NA,2018-09-05 14:37:57,TRUE,NA,"1037349118128087040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",20,FALSE,FALSE,NA,NA,9,5,2018
"37","@5NEWS ■ The Governor’s men are falling like dominoes.

Jon Woods to Be Sentenced for Corruption Today.

What did A… https://t.co/v9JxdU1SVs",FALSE,7,"5NEWS",2018-09-05 11:46:07,TRUE,"1037303137093279745","1037305875197771776","24778454","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,9,5,2018
"38","@5NEWS

■ The Governor’s men are falling like dominoes.

Jon Woods to Be Sentenced for Corruption Today.

What did… https://t.co/51g8kIC0OE",FALSE,6,"5NEWS",2018-09-05 11:44:41,TRUE,NA,"1037305515293003776","24778454","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,9,5,2018
"39","■ The Governor’s men are falling like dominoes.

Jon Woods to Be Sentenced for Corruption Today.

What did Asa Hutc… https://t.co/zz4KGbWpFN",FALSE,11,NA,2018-09-05 11:36:19,TRUE,NA,"1037303410968670208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8,FALSE,FALSE,NA,NA,9,5,2018
"40","■■■ Far Lefty Bob Woodward could earn a living by kissing snapping turtles, sacking groceries or writing a fantasy… https://t.co/WIO4fy2pgm",FALSE,9,NA,2018-09-05 11:00:30,TRUE,NA,"1037294394989322240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",10,FALSE,FALSE,NA,NA,9,5,2018
"41","☏Next time you are assaulted by a thug, call Kevin Kaepernick with his nike socks depicting police officers as pigs.",FALSE,18,NA,2018-09-05 03:16:45,FALSE,NA,"1037177689420038144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,9,5,2018
"42","@Jeff_Mans 🚫When Rush Limbaugh was not allowed to buy part interest in a pro team years ago, my interest in the NFL… https://t.co/mMWBHG3f6D",FALSE,7,"Jeff_Mans",2018-09-05 03:11:15,TRUE,"1037146605613277185","1037176304641212416","52959265","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,FALSE,FALSE,NA,NA,9,5,2018
"43","@Ilovemarkb 🚫When Rush Limbaugh was not allowed to buy part interest in a pro team years ago, my interest in the NF… https://t.co/3UyHRYkxkc",FALSE,6,"Ilovemarkb",2018-09-05 03:10:41,TRUE,"1036843092320690176","1037176162701791232","953266462516539392","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",8,FALSE,FALSE,NA,NA,9,5,2018
"44","RT @Ilovemarkb: Just do it?
This is what will happen. You will loose all your customers. 
#nike #justdoit #nfl https://t.co/SDld81zmbv",FALSE,0,NA,2018-09-05 03:10:26,FALSE,NA,"1037176100676349953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",729,TRUE,FALSE,NA,NA,9,5,2018
"45","A hazard of using weed is that you can be so spaced out, you accidentally donate your supply to charity.

5 pounds… https://t.co/3sowYgVlTy",FALSE,11,NA,2018-09-04 19:20:12,TRUE,NA,"1037057762017128448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",10,FALSE,FALSE,NA,NA,9,4,2018
"46","RT @SebGorka: Today’s Twitter question:

- Just how feckless and out of
   touch are @Nike?

  A) More than @NancyPelosi?
  B) More than @B…",FALSE,0,NA,2018-09-04 13:46:18,FALSE,NA,"1036973731774648321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",3283,TRUE,FALSE,NA,NA,9,4,2018
"47","RT @AmericaAvenging: Wow! The #Democrats obstruct before it starts. They're like lazy students who didnt study so they want a day off.

#Ka…",FALSE,0,NA,2018-09-04 13:45:51,FALSE,NA,"1036973617207279617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",9,TRUE,FALSE,NA,NA,9,4,2018
"48","RT @PrisonPlanet: South Africa has now officially entered its first recession since 2009.

Gee, I wonder what could have caused this?

http…",FALSE,0,NA,2018-09-04 13:45:17,FALSE,NA,"1036973474730913793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",1207,TRUE,FALSE,NA,NA,9,4,2018
"49","RT @nightlypolitics: Will you be voting for @realDonaldTrump in 2020? 
Please retweet for more votes.",FALSE,0,NA,2018-09-04 13:44:58,FALSE,NA,"1036973394888208384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",43054,TRUE,FALSE,NA,NA,9,4,2018
"50","RT @Redhead4645: Menendez is and always was a corrupt NJ senator and now with all the scandals with fresh and young girls he must be voted…",FALSE,0,NA,2018-09-04 13:43:26,FALSE,NA,"1036973012644515842",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",204,TRUE,FALSE,NA,NA,9,4,2018
"51","RT @WhiteHouse: This morning, President Trump's Supreme Court nominee Judge Brett Kavanaugh begins several days of confirmation hearings be…",FALSE,0,NA,2018-09-04 13:43:00,FALSE,NA,"1036972900052557824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",1168,TRUE,FALSE,NA,NA,9,4,2018
"52","RT @OlderWiseOne: Egyptian media: John McCain was the “Godfather,” “leader,” and “real Supreme Guide” of the Muslim Brotherhood https://t.c…",FALSE,0,NA,2018-09-04 13:42:26,FALSE,NA,"1036972760982081536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",19,TRUE,FALSE,NA,NA,9,4,2018
"53","What were Senators Linda Collins Smith and Terry Rice thinking by trying to take all the toys away from frolicking… https://t.co/cC4EAujkX3",FALSE,15,NA,2018-09-04 12:10:27,TRUE,NA,"1036949612962177029",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",11,FALSE,FALSE,NA,NA,9,4,2018
"54","■Are you working hard to support Democrats?

Do they appreciate your labor?

Does the corrupt fake news media respe… https://t.co/aqry2g1oF4",FALSE,16,NA,2018-09-04 00:25:24,TRUE,NA,"1036772180053381121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",16,FALSE,FALSE,NA,NA,9,4,2018
"55","■Would any Arkansas politician be in jail or indicted if it was only up to Leslie Rutledge?

■Is Leslie Rutledge pa… https://t.co/bjb9wRID0Y",FALSE,7,NA,2018-09-04 00:20:14,TRUE,NA,"1036770880834162689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,9,4,2018
